cell	leg	cond	arm	ret_task	served	T	out	wall_s	turns_sent	done_reason	end_marker	verdicts	tests	retained	ret_class	w1_fenced	given	tokenscan	n_leak	field	card_extras	stmt_lines	false_done	run_verdict	cmds	n_meter	cr	inp	think
l7cfbp01	C-flash	cells-l7-crc32-flash-plain-bare-bf	plain	Crc32	gemini-3.8-flash-high	4399236	37981	266.5	4	LANDED	ENDED 2026-09-19T17:55:20Z LANDED landing-1 6476985bf014	PASS	6/6	0.673	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	8/35	1	3906539	454716	23130
l7cfbp02	C-flash	cells-l7-crc32-flash-plain-bare-bf	plain	Crc32	gemini-3.8-flash-high	4325246	39336	242.4	3	LANDED	ENDED 2026-09-19T18:33:21Z LANDED landing-1 b15ae49d38f5	PASS	6/6	0.660	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	7/41	1	3813395	472515	24156
l7cfbp03	C-flash	cells-l7-crc32-flash-plain-bare-bf	plain	Crc32	gemini-3.8-flash-high	4188400	42743	261.1	3	LANDED	ENDED 2026-09-19T18:38:20Z LANDED landing-1 41c598f35982	PASS	6/6	0.648	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	9/38	1	3776585	369072	29793
l7cfbs01	C-flash	cells-l7-crc32-flash-salt-bare-bf	salt-diet	Crc32	gemini-3.8-flash-high	8580379	57362	356.6	4	LANDED	ENDED 2026-09-19T18:45:16Z LANDED landing-1 01d7798893ab	PASS	6/6	0.372	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	29/58	1	7782740	740277	35043
l7cfbs02	C-flash	cells-l7-crc32-flash-salt-bare-bf	salt-diet	Crc32	gemini-3.8-flash-high	9683589	65511	408.1	4	LANDED	ENDED 2026-09-19T18:52:18Z LANDED landing-1 c14adb407075	PASS	6/6	0.332	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	21/65	1	8637128	980950	39265
l7cfbs03	C-flash	cells-l7-crc32-flash-salt-bare-bf	salt-diet	Crc32	gemini-3.8-flash-high	13871972	99176	2095.7	4	LANDED	ENDED 2026-09-19T20:00:10Z LANDED landing-1 03e40873c7a9	PASS	6/6	0.252	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	none	0	0	OK	15/69	1	12807901	964895	48075
l7cfsp01	C-flash	cells-l7-crc32-flash-plain-stmt-bf	plain	Crc32	gemini-3.8-flash-high	4626795	42034	235.3	4	LANDED	ENDED 2026-09-19T20:25:14Z LANDED landing-1 d6a154339be5	PASS	6/6	0.529	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	8/38	1	3952245	632516	27761
l7cfsp02	C-flash	cells-l7-crc32-flash-plain-stmt-bf	plain	Crc32	gemini-3.8-flash-high	5376845	37259	216.3	4	LANDED	ENDED 2026-09-19T20:29:06Z LANDED landing-1 48994d24b492	PASS	6/6	0.817	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	8/36	1	4925773	413813	23785
l7cfsp03	C-flash	cells-l7-crc32-flash-plain-stmt-bf	plain	Crc32	gemini-3.8-flash-high	5593966	47322	258.7	3	LANDED	ENDED 2026-09-19T20:33:59Z LANDED landing-1 0c10a313c452	PASS	6/6	0.529	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	11/47	1	5145263	401381	31952
l7cfss01	C-flash	cells-l7-crc32-flash-salt-stmt-bf	salt-diet	Crc32	gemini-3.8-flash-high	13141849	89524	494.3	4	LANDED	ENDED 2026-09-19T20:43:01Z LANDED landing-1 7d2d074702d9	PASS	6/6	0.235	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	40/74	1	11610528	1441797	61614
